from	to	weight
hsa-mir-342.MIMAT0004694	UNC5CL	0.437848272682744
hsa-mir-342.MIMAT0004694	PDE6B	0.411866482265825
hsa-mir-342.MIMAT0000753	hsa-mir-342.MIMAT0004694	0.507792376177716
hsa-mir-342.MIMAT0000753	ZNF544	0.421531679488288
hsa-mir-342.MIMAT0000753	ZNF418	0.42282248537759
hsa-mir-342.MIMAT0000753	ZNF202	0.41442360330769
hsa-mir-342.MIMAT0000753	ZNF193	0.411732503529547
hsa-mir-342.MIMAT0000753	ZFPM2	0.434964128273835
hsa-mir-342.MIMAT0000753	ZBTB49	0.420838735701732
hsa-mir-342.MIMAT0000753	UNC5CL	0.431077304290201
hsa-mir-342.MIMAT0000753	UBA2	0.434164577750886
hsa-mir-342.MIMAT0000753	TTC7B	0.411529374477771
hsa-mir-342.MIMAT0000753	TMEM132C	0.414991212147405
hsa-mir-342.MIMAT0000753	TBX15	0.450890310312041
hsa-mir-342.MIMAT0000753	STBD1	0.426581093151238
hsa-mir-342.MIMAT0000753	SLC4A5	0.430270550609387
hsa-mir-342.MIMAT0000753	SGCG	0.437659549946697
hsa-mir-342.MIMAT0000753	SGCB	0.438175296049788
hsa-mir-342.MIMAT0000753	SEC23A	0.422469530642234
hsa-mir-342.MIMAT0000753	RTKN	0.410966087532774
hsa-mir-342.MIMAT0000753	RNF157	0.423220099691705
hsa-mir-342.MIMAT0000753	RHOH	0.461576915319676
hsa-mir-342.MIMAT0000753	PVT1	0.416634972772063
hsa-mir-342.MIMAT0000753	PRDX6	0.453100239144841
hsa-mir-342.MIMAT0000753	PPP1R1A	0.438559944679748
hsa-mir-342.MIMAT0000753	PHYH	0.439417120465612
hsa-mir-342.MIMAT0000753	PFKFB1	0.436617973319503
hsa-mir-342.MIMAT0000753	PEX19	0.412751030051575
hsa-mir-342.MIMAT0000753	PDE6B	0.463184660155012
hsa-mir-342.MIMAT0000753	PABPC1L	0.428060621776587
hsa-mir-342.MIMAT0000753	OPTN	0.426282882415651
hsa-mir-342.MIMAT0000753	NXF1	0.447455844642291
hsa-mir-342.MIMAT0000753	NIPSNAP3B	0.446013772437837
hsa-mir-342.MIMAT0000753	NCRNA00181	0.414779439306192
hsa-mir-342.MIMAT0000753	NCOA5	0.461002103322096
hsa-mir-342.MIMAT0000753	MYOM1	0.444542887601925
hsa-mir-342.MIMAT0000753	MTL5	0.433003428703144
hsa-mir-342.MIMAT0000753	MORC4	0.417872475293169
hsa-mir-342.MIMAT0000753	MAP7D3	0.427194802201285
hsa-mir-342.MIMAT0000753	MAP1LC3B2	0.420507390439969
hsa-mir-342.MIMAT0000753	LPAR2	0.424621834212119
hsa-mir-342.MIMAT0000753	LMX1B	0.414210389834904
hsa-mir-342.MIMAT0000753	LMO3	0.422089203906993
hsa-mir-342.MIMAT0000753	KIAA0408	0.424920044947705
hsa-mir-342.MIMAT0000753	KANK2	0.436314000057625
hsa-mir-342.MIMAT0000753	IL28RA	0.427073789149163
hsa-mir-342.MIMAT0000753	IGSF9	0.426304491889244
hsa-mir-342.MIMAT0000753	HSPB6	0.429947849137062
hsa-mir-342.MIMAT0000753	HSDL2	0.432107355864811
hsa-mir-324.MIMAT0000761	hsa-mir-345.MIMAT0000772	0.537068891001815
hsa-mir-26b.MIMAT0004500	hsa-mir-345.MIMAT0000772	0.449530354107241
hsa-mir-203a.MIMAT0000264	hsa-mir-375.MIMAT0000728	0.421026017806206
hsa-mir-203a.MIMAT0000264	hsa-mir-30a.MIMAT0000087	0.461388192583629
hsa-mir-203a.MIMAT0000264	ZZZ3	0.477299968306105
hsa-mir-203a.MIMAT0000264	ZYG11A	0.438294868470337
hsa-mir-203a.MIMAT0000264	ZSWIM5	0.541441207825511
hsa-mir-203a.MIMAT0000264	ZSCAN12	0.470410868124586
hsa-mir-203a.MIMAT0000264	ZNF93	0.48160169418273
